Home_team,Away_team,Home_form,Away_form,Home_avg_scored,Away_avg_scored,Home_avg_conceded,Away_avg_conceded,Result
Nott'm Forest,Wolves,8,2,1.2,0.4,1.0,1.6,D
Aston Villa,Brighton,5,3,0.6,0.8,0.6,1.2,H
Crystal Palace,Burnley,5,3,0.8,1.0,1.2,2.0,A
Sunderland,Liverpool,6,5,1.2,1.6,2.0,1.4,A
Brentford,Arsenal,9,8,1.4,1.8,1.2,0.6,D
Wolves,Arsenal,2,8,0.2,2.0,1.4,0.8,D
Aston Villa,Leeds,7,8,0.8,1.4,0.6,1.6,D
Brentford,Brighton,7,2,1.0,0.6,1.4,1.2,A
Chelsea,Burnley,13,5,2.6,1.2,1.2,2.0,D
West Ham,Bournemouth,10,11,2.0,1.8,1.2,1.0,D
Man City,Newcastle,10,4,1.8,1.0,1.0,2.0,H
Crystal Palace,Wolves,4,2,1.2,0.6,1.8,1.8,H
Nott'm Forest,Liverpool,6,7,0.8,1.8,0.8,1.4,A
Sunderland,Fulham,6,3,1.2,1.0,1.6,2.0,A
Tottenham,Arsenal,2,8,1.2,2.4,2.0,1.2,A
Everton,Man United,8,13,1.2,2.2,1.0,1.0,A
Wolves,Aston Villa,2,8,0.6,1.0,1.6,0.6,H
Bournemouth,Sunderland,11,3,1.6,1.0,0.8,2.0,D
Burnley,Brentford,5,7,1.2,1.0,2.0,1.4,A
Liverpool,West Ham,9,8,1.8,1.6,1.2,1.0,H
Newcastle,Everton,3,5,1.2,1.0,2.4,1.2,A
Leeds,Man City,6,13,1.4,2.2,1.8,0.8,A
Brighton,Nott'm Forest,4,5,0.8,0.8,1.0,1.0,H
Fulham,Tottenham,6,2,1.6,1.2,2.0,2.4,H
Man United,Crystal Palace,13,7,2.0,1.2,1.0,1.4,H
Arsenal,Chelsea,11,11,2.8,2.4,0.8,1.4,H
Wolves,Liverpool,5,12,1.0,2.4,1.2,1.0,H
Leeds,Sunderland,5,4,1.2,1.0,1.8,1.6,A
Bournemouth,Brentford,9,10,1.2,1.8,0.6,1.6,D
Everton,Burnley,7,4,1.4,1.4,1.4,2.4,H
Aston Villa,Chelsea,5,8,0.6,2.0,1.0,1.6,A
Brighton,Arsenal,7,11,1.0,2.4,0.8,1.0,A
Fulham,West Ham,6,5,1.6,1.4,2.0,1.8,A
Man City,Nott'm Forest,13,2,2.0,0.6,0.8,1.4,D
Newcastle,Man United,3,13,1.6,1.8,2.6,0.8,H
Tottenham,Crystal Palace,1,7,1.0,1.2,2.4,1.2,A
West Ham,Man City,8,13,1.2,2.0,1.2,0.8,D
Arsenal,Everton,11,9,2.0,1.6,1.0,1.2,H
Chelsea,Newcastle,8,6,2.2,1.8,1.4,2.0,A
Burnley,Bournemouth,4,7,1.4,0.8,2.2,0.6,D
Sunderland,Brighton,4,6,0.6,0.8,1.6,0.8,A
Crystal Palace,Leeds,9,5,1.6,1.2,1.2,1.2,D
Man United,Aston Villa,10,5,1.4,0.8,0.8,1.6,H
Nott'm Forest,Fulham,2,6,0.8,1.2,1.6,1.6,D
Liverpool,Tottenham,9,0,1.8,0.8,1.2,2.6,D
Brentford,Wolves,8,8,1.6,1.2,1.6,0.8,D
Bournemouth,Man United,7,10,0.6,1.6,0.4,1.0,D
Leeds,Brentford,3,6,0.6,1.4,1.0,1.6,D
Brighton,Liverpool,9,10,1.0,1.8,0.6,1.0,H
Fulham,Burnley,7,5,1.0,1.4,1.2,1.8,H
Everton,Chelsea,6,5,1.2,1.6,1.4,1.4,H
Tottenham,Nott'm Forest,1,3,1.0,0.6,2.4,1.0,A
Newcastle,Sunderland,9,4,1.6,0.6,1.4,1.2,A
Aston Villa,West Ham,4,6,0.8,1.0,2.0,1.4,H
West Ham,Wolves,5,8,0.8,1.6,1.6,1.2,H
Arsenal,Bournemouth,13,5,2.2,0.6,0.8,0.6,A
Brentford,Everton,6,9,1.2,1.6,1.4,1.0,D
Burnley,Brighton,2,12,1.0,1.4,2.0,0.6,A
Liverpool,Fulham,7,10,1.8,1.6,1.4,0.8,H
Chelsea,Man City,4,11,1.2,1.8,1.6,0.8,A
Crystal Palace,Newcastle,7,6,1.4,1.4,1.2,1.6,H
Nott'm Forest,Aston Villa,5,4,1.2,1.0,1.0,2.0,D
Sunderland,Tottenham,7,1,1.0,0.8,1.2,2.6,H
Man United,Leeds,10,3,1.8,0.2,1.2,0.6,A
Brentford,Fulham,7,7,1.6,1.0,1.4,1.0,D
Leeds,Wolves,5,7,0.4,1.2,0.6,1.6,H
Newcastle,Bournemouth,6,7,1.4,1.0,1.6,0.8,A
Tottenham,Brighton,1,12,0.6,1.4,2.0,0.6,D
Chelsea,Man United,3,7,1.0,1.8,2.0,1.6,A
Aston Villa,Sunderland,4,10,1.0,1.0,2.0,0.6,H
Everton,Liverpool,10,7,2.0,2.0,1.2,1.4,A
